199.28	2145.00
200.09	2140.00
200.89	2141.00
201.69	2138.00
202.50	2145.00
203.30	2140.00
204.10	2141.00
204.91	2146.00
205.71	2146.00
206.51	2143.00
207.32	2143.00
208.12	2143.00
208.92	2140.00
209.73	2139.00
210.53	2143.00
211.33	2143.00
212.13	2142.00
212.94	2142.00
213.74	2145.00
214.54	2147.00
215.34	2143.00
216.15	2145.00
216.95	2145.00
217.75	2146.00
218.55	2143.00
219.35	2145.00
220.16	2145.00
220.96	2143.00
221.76	2145.00
222.56	2146.00
223.36	2146.00
224.17	2144.00
224.97	2149.00
225.77	2144.00
226.57	2147.00
227.37	2145.00
228.17	2146.00
228.98	2144.00
229.78	2146.00
230.58	2149.00
231.38	2148.00
232.18	2147.00
232.98	2145.00
233.78	2145.00
234.58	2145.00
235.38	2147.00
236.19	2146.00
236.99	2146.00
237.79	2144.00
238.59	2146.00
239.39	2146.00
240.19	2147.00
240.99	2148.00
241.79	2147.00
242.59	2147.00
243.39	2148.00
244.19	2150.00
244.99	2149.00
245.79	2147.00
246.59	2149.00
247.39	2148.00
248.19	2148.00
248.99	2148.00
249.79	2148.00
250.59	2150.00
251.39	2153.00
252.19	2147.00
252.99	2147.00
253.79	2152.00
254.59	2151.00
255.39	2150.00
256.19	2149.00
256.99	2154.00
257.79	2151.00
258.59	2151.00
259.38	2153.00
260.18	2152.00
260.98	2150.00
261.78	2150.00
262.58	2153.00
263.38	2147.00
264.18	2154.00
264.98	2155.00
265.78	2155.00
266.57	2154.00
267.37	2155.00
268.17	2157.00
268.97	2157.00
269.77	2157.00
270.57	2160.00
271.36	2157.00
272.16	2158.00
272.96	2159.00
273.76	2161.00
274.56	2155.00
275.35	2159.00
276.15	2153.00
276.95	2155.00
277.75	2160.00
278.54	2161.00
279.34	2165.00
280.14	2164.00
280.94	2163.00
281.73	2161.00
282.53	2162.00
283.33	2167.00
284.13	2161.00
284.92	2161.00
285.72	2161.00
286.52	2162.00
287.31	2157.00
288.11	2164.00
288.91	2164.00
289.71	2163.00
290.50	2158.00
291.30	2165.00
292.09	2162.00
292.89	2164.00
293.69	2162.00
294.48	2166.00
295.28	2164.00
296.08	2162.00
296.87	2167.00
297.67	2167.00
298.47	2164.00
299.26	2166.00
300.06	2166.00
300.85	2170.00
301.65	2167.00
302.44	2172.00
303.24	2169.00
304.04	2168.00
304.83	2172.00
305.63	2170.00
306.42	2169.00
307.22	2175.00
308.01	2168.00
308.81	2168.00
309.60	2170.00
310.40	2168.00
311.19	2173.00
311.99	2177.00
312.78	2174.00
313.58	2175.00
314.37	2176.00
315.17	2181.00
315.96	2178.00
316.76	2177.00
317.55	2173.00
318.35	2175.00
319.14	2176.00
319.93	2177.00
320.73	2183.00
321.52	2180.00
322.32	2181.00
323.11	2182.00
323.91	2180.00
324.70	2187.00
325.49	2186.00
326.29	2186.00
327.08	2184.00
327.87	2190.00
328.67	2186.00
329.46	2189.00
330.26	2192.00
331.05	2189.00
331.84	2195.00
332.64	2192.00
333.43	2197.00
334.22	2206.00
335.02	2200.00
335.81	2199.00
336.60	2205.00
337.39	2205.00
338.19	2209.00
338.98	2207.00
339.77	2209.00
340.57	2216.00
341.36	2216.00
342.15	2220.00
342.94	2222.00
343.74	2222.00
344.53	2227.00
345.32	2229.00
346.11	2229.00
346.90	2229.00
347.70	2244.00
348.49	2241.00
349.28	2245.00
350.07	2245.00
350.86	2253.00
351.66	2253.00
352.45	2261.00
353.24	2270.00
354.03	2269.00
354.82	2281.00
355.61	2290.00
356.40	2294.00
357.20	2297.00
357.99	2306.00
358.78	2304.00
359.57	2319.00
360.36	2324.00
361.15	2336.00
361.94	2345.00
362.73	2354.00
363.52	2367.00
364.31	2373.00
365.11	2382.00
365.90	2401.00
366.69	2419.00
367.48	2436.00
368.27	2454.00
369.06	2470.00
369.85	2489.00
370.64	2501.00
371.43	2521.00
372.22	2574.00
373.01	2706.00
373.80	2859.00
374.59	2999.00
375.38	3168.00
376.17	3329.00
376.96	3407.00
377.75	3519.00
378.54	3648.00
379.33	3755.00
380.11	3970.00
380.90	4206.00
381.69	4505.00
382.48	4809.00
383.27	4932.00
384.06	5121.00
384.85	5335.00
385.64	5650.00
386.43	6119.00
387.22	6715.00
388.00	7281.00
388.79	7615.00
389.58	7981.00
390.37	8243.00
391.16	8474.00
391.95	8801.00
392.74	9129.00
393.52	9487.00
394.31	9855.00
395.10	10262.00
395.89	10652.00
396.68	11021.00
