199.28	2075.00
200.09	2073.00
200.89	2074.00
201.69	2070.00
202.50	2071.00
203.30	2074.00
204.10	2075.00
204.91	2072.00
205.71	2073.00
206.51	2072.00
207.32	2073.00
208.12	2074.00
208.92	2072.00
209.73	2071.00
210.53	2071.00
211.33	2072.00
212.13	2075.00
212.94	2072.00
213.74	2074.00
214.54	2073.00
215.34	2075.00
216.15	2071.00
216.95	2074.00
217.75	2074.00
218.55	2074.00
219.35	2073.00
220.16	2074.00
220.96	2075.00
221.76	2076.00
222.56	2072.00
223.36	2075.00
224.17	2074.00
224.97	2075.00
225.77	2073.00
226.57	2075.00
227.37	2074.00
228.17	2075.00
228.98	2073.00
229.78	2076.00
230.58	2074.00
231.38	2073.00
232.18	2073.00
232.98	2074.00
233.78	2074.00
234.58	2073.00
235.38	2075.00
236.19	2075.00
236.99	2076.00
237.79	2073.00
238.59	2075.00
239.39	2074.00
240.19	2077.00
240.99	2077.00
241.79	2073.00
242.59	2075.00
243.39	2075.00
244.19	2074.00
244.99	2074.00
245.79	2074.00
246.59	2073.00
247.39	2075.00
248.19	2075.00
248.99	2076.00
249.79	2074.00
250.59	2076.00
251.39	2076.00
252.19	2073.00
252.99	2075.00
253.79	2077.00
254.59	2074.00
255.39	2076.00
256.19	2076.00
256.99	2074.00
257.79	2078.00
258.59	2076.00
259.38	2075.00
260.18	2075.00
260.98	2077.00
261.78	2077.00
262.58	2075.00
263.38	2075.00
264.18	2076.00
264.98	2077.00
265.78	2077.00
266.57	2076.00
267.37	2077.00
268.17	2076.00
268.97	2077.00
269.77	2075.00
270.57	2076.00
271.36	2077.00
272.16	2077.00
272.96	2078.00
273.76	2077.00
274.56	2077.00
275.35	2079.00
276.15	2080.00
276.95	2078.00
277.75	2078.00
278.54	2078.00
279.34	2078.00
280.14	2078.00
280.94	2078.00
281.73	2080.00
282.53	2081.00
283.33	2077.00
284.13	2078.00
284.92	2078.00
285.72	2078.00
286.52	2079.00
287.31	2080.00
288.11	2080.00
288.91	2080.00
289.71	2079.00
290.50	2079.00
291.30	2081.00
292.09	2080.00
292.89	2079.00
293.69	2078.00
294.48	2080.00
295.28	2081.00
296.08	2081.00
296.87	2078.00
297.67	2080.00
298.47	2081.00
299.26	2080.00
300.06	2078.00
300.85	2078.00
301.65	2081.00
302.44	2082.00
303.24	2081.00
304.04	2078.00
304.83	2083.00
305.63	2082.00
306.42	2079.00
307.22	2081.00
308.01	2083.00
308.81	2081.00
309.60	2082.00
310.40	2083.00
311.19	2082.00
311.99	2084.00
312.78	2084.00
313.58	2083.00
314.37	2083.00
315.17	2083.00
315.96	2084.00
316.76	2084.00
317.55	2083.00
318.35	2084.00
319.14	2083.00
319.93	2084.00
320.73	2082.00
321.52	2085.00
322.32	2085.00
323.11	2084.00
323.91	2083.00
324.70	2088.00
325.49	2088.00
326.29	2086.00
327.08	2087.00
327.87	2088.00
328.67	2087.00
329.46	2088.00
330.26	2091.00
331.05	2090.00
331.84	2089.00
332.64	2090.00
333.43	2089.00
334.22	2091.00
335.02	2091.00
335.81	2093.00
336.60	2091.00
337.39	2092.00
338.19	2093.00
338.98	2091.00
339.77	2091.00
340.57	2092.00
341.36	2095.00
342.15	2096.00
342.94	2094.00
343.74	2095.00
344.53	2097.00
345.32	2099.00
346.11	2101.00
346.90	2101.00
347.70	2104.00
348.49	2103.00
349.28	2104.00
350.07	2104.00
350.86	2105.00
351.66	2107.00
352.45	2109.00
353.24	2108.00
354.03	2112.00
354.82	2113.00
355.61	2118.00
356.40	2118.00
357.20	2117.00
357.99	2123.00
358.78	2121.00
359.57	2124.00
360.36	2127.00
361.15	2128.00
361.94	2129.00
362.73	2132.00
363.52	2139.00
364.31	2140.00
365.11	2144.00
365.90	2152.00
366.69	2155.00
367.48	2159.00
368.27	2166.00
369.06	2172.00
369.85	2177.00
370.64	2182.00
371.43	2191.00
372.22	2206.00
373.01	2253.00
373.80	2304.00
374.59	2355.00
375.38	2410.00
376.17	2447.00
376.96	2469.00
377.75	2497.00
378.54	2529.00
379.33	2576.00
380.11	2651.00
380.90	2720.00
381.69	2811.00
382.48	2890.00
383.27	2922.00
384.06	2969.00
384.85	3019.00
385.64	3117.00
386.43	3288.00
387.22	3459.00
388.00	3641.00
388.79	3736.00
389.58	3831.00
390.37	3876.00
391.16	3928.00
391.95	4026.00
392.74	4083.00
393.52	4191.00
394.31	4263.00
395.10	4370.00
395.89	4486.00
